连接沧源翁丁至孟定二级路，打造周未旅游环线。,待回复,交通 建言,依***,2019-11-2220:49,          张市长您好，一直已来临沧由于地理环境制约，交通基础设施滞后。严重影响当地贸易、旅旅市场的发展，这几年已来，特別在张市长的带领下，各县高速路取得飞速发展。为了留住人，拉动临沧旅市场，为孟定边境开发切实招到商，造福一方百姓特建议抢修打通沧源翁丁沿小黑河至孟定约50公里二级路，让临沧现有的两个机场，两个最有特色的佤乡傣乡连接起来，形成临沧一双江一沧源一孟定的双向空中人流周未旅游线。,,,
碧桂园降价一事怎么处理？,待回复,城建 投诉,匿***,2019-11-2216:34,尊敬的领导，我是一名碧桂园业主，我于一年前购买碧桂园小区商品房118平，全款88万。碧桂园在尚未交房的情况下，碧桂园在今年11月份以集团回笼资金为由以全款7.7折的方式进行抛售。此行径造成前期购买客户均造成损失20万到60万元不等。我们在维权的情况下，向有关部门进行了情况反应。有关部门对碧桂园进行了停止网签协议。但是碧桂园相关部门采取回避方式，避而不谈。我想恳请相关领导督促碧桂园尽快落实相关事宜，对广大群众有一个交代。,,,
建议在禁毒支队至亚微馆路口设置红绿灯,待回复,城建 建言,七***,2019-11-2108:44,尊敬的张市长：禁毒支队至亚微馆路口（沧江路与沧江北路交叉口）旁边有沃尔玛超市、幼儿园，财富中心二期小区，两个电影院等，加之与至市人民政府的沧江路形成十字交叉路口，人流，车流量非常大。特别上下班，接送娃娃及黄昏出行高峰期，由于没有红绿灯及人行天桥，人流，车流乱成一团，人不让车，车不让人，给交通安全埋下极大隐患，也影响了群众出行便利，此地多次发生车辆剐蹭及车祸说明了这一点。在此路口前后沧江路都有红绿灯，但是这个路口人流，车流是最大的。虽然画了斑马线，但实际效果并不好，车辆过往并不减速让行，每次过马路都心惊胆战的，因此，建议在禁毒支队至亚微馆路口（沧江路与沧江北路交叉口）设置红绿灯及人行天桥，解决这一突出的交通混乱问题。,,,
临沧市反诈骗中心问题,待回复,政务 建言,安***,2019-11-1207:58,到临沧后电话无法正常使用怀疑被列入反诈骗黑名单导致电话无法呼出无法接听 联系0883 96110多次始终无法打通 本人并没有涉及任何一项诈骗之类的东西 实在是没办法求助一下   ,,,
临沧市幸福镇婚姻登记处,待回复,政务 投诉,W***,2019-11-0516:53,尊敬的市长你好，感谢你百忙之中抽空看一下我的留言，我是一个四川人，来到临沧市云县幸福镇婚姻登记处办理结婚证，因为当地的卫生院规定只有礼拜一做婚检，无奈我从外省来到这个地方，被前台工作人员告知不婚检就不登记结婚，态度非常恶劣，我就说了一句婚姻法规定的是自愿检查，并非强制，然后前台那个男的就说，来到这里就要遵守他的规矩，,,,
批发市场和旧货市场中间道路商家霸占公共车位,待回复,交通 投诉,2***,2019-11-0417:55,张市长你好，我是批发市场小区的住户，因为批发市场正在改造因此没有什么停车位，然后批发市场周围的公共停车位很多都被商家用塑料锥桶、石头、车轮霸占，白天也占晚上也占，导致很多人没地方停车，要是晚上侥幸停上了，早上起晚了没及时开走还会被那些商家说。为避免不必要的麻烦还请张市长能为我们解决车位的问题。很多卖大米，卖饲料的商家，整天都在霸占，不是用锥桶，石头霸占就是用，没拉货的大货车霸占，导致我们中午晚上下班了回家没法找到停车位，我们自己去沟通无果，只能望请市长帮帮忙。,,,
关于新亚太广场收取购房配套费的情况。,待回复,城建 咨询,Z***,2019-10-1916:14,尊敬的市领导：您好！我是在新亚太广场购房的市民，在云签购房合同时，发现有配套设施费，其中含有线电视初装费300元、天然气初装费3300元、网络初装费300元、可视对讲系统费800元，国家有明文规定从2016年1月1日起，房地产开发企业不得在房价外向购房者另行收取天然气初装费，法律依据《关于全国整顿住房建设收费项目取消部分收费项目的通知》【2001】585号文件中取消了城市基础设施配套费及其他专项配套费性收费一律取消。为什么临沧的房地产开发企业还向购房者收取配套费？请市领导关注并给予回复。,,,
关于临沧市临翔区体育运动中心体育馆灯光问题,已办理,文娱 投诉,为***,2019-10-1914:22,市长您好！  我是临沧市人民群众中的一员，曾经临沧市修建体育运动中心，为市民提供运动场所，使市民身体素质得到有效提高的做法使全市人民感受到了政府的关爱。但现如今体育运动中心出现了灯光上的一些问题，具体如下  一、灯光昏暗，长期无人检修  二、晚上开灯数量较少，不少市民只能在昏暗的灯光下运动，大大增加了运动危险性因此我建议：一、加强基础设施建设，检修球场路灯。二、增加夜间开灯数量，开灯时间市民身体素质不但关乎市民身体健康，也是下一代人综合素质发展的一部分，使体育馆灯光在夜晚再次亮起，是广大人民群众的意愿，让运动更安全才能达到修建体育馆的目的，我恳请市长先生尽快解决体育馆运动照明问题，还市民一片安全运动的场所。,临沧市政府办公室,"网民同志：您好！       您通过人民网地方领导留言板给张之政同志的留言收悉，张之政同志高度重视，及时交市国资公司办理。现将有关情况回复如下：       临沧市体育运动中心由临沧市民族歌舞演艺有限责任公司的子公司临沧市体育运动服务有限公司负责经营管理。接件后，临沧市民族歌舞演艺有限责任公司立即就反映的问题展开调查并进行整修。经查，造成篮球场灯光较弱的原因：一是太阳能照明功率偏弱，灯杆座数少。二是时值亚洲微电影艺术节之前，为保障艺术节期间用电安全，确保亚微节活动的顺利进行，公司组织技术人员对电力设施和设备进行全面检修，8盏白炽灯在检修排线范围内,目前已恢复照明。       祝您身体健康、生活愉快！",回复时间：2019-11-26 15:43
请求帮助解决81岁老人身份证办理问题,待回复,政务 求助,白***,2019-10-1913:56,尊敬的市长:你好，我是耿马县勐简乡迎门寨村大树地组一名普通村民，我外婆现年81岁，因长年患病、老年痴呆、行动不便，无法到当地派出所进行第二代身份证影像采集和身份证办理工作，导致因无第二代身份证无法申报80岁以上老人高龄补贴。恳请市长帮忙解决。谢谢。,,,
请打击非法电鱼,已办理,环保 投诉,陈***,2019-10-1421:19,尊敬的张市长您好：我是普洱市的，今天在一个钓鱼群里看到别的钓友转发的一个电鱼鱼获视频，我们普洱，西双版纳各个钓鱼群里的爱心钓友看后很心痛，请您百忙之中安排调查一下这个抖音号的注册人为谢，非法电鱼的鱼获里好像还有国家二级保护鱼类丝尾鱯（长胡子鱼）祝临沧市发展越来越好！,临沧市政府办公室,网民同志：您好！       您通过人民网地方领导留言板给张之政同志的留言收悉，张之政同志高度重视，及时交市农业农村局办理。现将有关情况回复如下：       由于您所反映的情况、提供的信息不全，农业部门无法查找此类图片来源地和真实性。如需对此问题进行办理，请提供准确的信息，方便我们查实处理。在此，感谢您对临沧发展的关注和关心！近年来，临沧渔业发展迅速，渔业执法力度也不断增强，震慑了一些渔业违法行为，在今后的工作中，我们将继续加大各项农业执法力度，坚决维护大美临沧和谐环境。       祝您身体健康、生活愉快！,回复时间：2019-11-19 11:56
